id,delta,epsilon,baseline_dist,simp_dist,orig_points,baseline_points,simp_points
913,14.690546381538125,0.5,22.035819572307187,20.78054125096538,852,746,564
914,8.136770895937838,0.5,12.205156343906756,11.511861713111623,235,73,52
915,8.007560830134755,0.5,12.011341245202132,11.329289468787998,526,489,364
916,5.341738936212352,0.5,8.012608404318529,7.559181361297886,84,79,72
917,13.036175974240109,0.5,19.554263961360164,18.440750263257097,647,613,458
918,12.756447889882308,0.5,19.13467183482346,18.22069061280349,1107,808,498
922,7.4908407053397505,0.5,11.236261058009626,10.64236014759035,594,317,256
923,11.155085376281477,0.5,16.732628064422215,15.780120010872103,316,241,168
921,8.983360287318396,0.5,13.475040430977593,-1.0,921,657,558
924,11.678776934251452,0.5,17.51816540137718,16.52000029174273,1024,183,100
920,14.750089323574132,0.5,22.1251339853612,-1.0,1350,501,300
925,12.815045344104355,0.5,19.222568016156533,18.12771267041127,212,151,100
926,10.729835890501926,0.5,16.09475383575289,15.17927482768666,925,520,416
919,12.289533182535125,0.5,18.43429977380269,-1.0,7982,3464,1552
927,13.304004985450161,0.5,19.95600747817524,18.81918842174088,1570,396,198
928,10.05678318181721,0.5,15.085174772725814,14.230991748302207,683,590,440
929,12.617197747007394,0.5,18.92579662051109,17.945896328993182,1033,748,576
931,0.0,0.5,0.0,-1.0,2,2,-1
933,0.0,0.5,0.0,-1.0,8,8,-1
934,0.0,0.5,0.0,-1.0,6,6,-1
932,6.5255187066351725,0.5,9.78827805995276,9.233416804418983,328,313,290
930,7.135548573184963,0.5,10.703322859777444,-1.0,893,454,364
935,-1,0.5,-1,-1,1721,459,-1
936,-1,0.5,-1,-1,1698,721,-1
938,13.7528561905146,0.5,20.6292842857719,19.454405168350174,1614,873,640
940,2.0118960095791234,0.5,3.017844014368685,2.8500034739512223,1677,22,14
937,11.461960833123472,0.5,17.19294124968521,-1.0,843,352,278
939,14.194216912149159,0.5,21.291325368223738,-1.0,2462,1887,1064
941,13.73497435662567,0.5,20.602461534938506,-1.0,1805,1505,930
944,-1,0.5,-1,-1,1390,911,-1
942,10.042969567012568,0.5,15.064454350518853,-1.0,1647,1156,966
945,13.677831130168384,0.5,20.516746695252575,-1.0,1382,1133,694
943,7.8985842083916795,0.5,11.84787631258752,-1.0,1749,515,420
946,10.326837826565402,0.5,15.490256739848103,-1.0,1716,669,520
949,9.860482059529806,0.5,14.790723089294708,13.946127838443102,1145,164,80
950,-1,0.5,-1,-1,25979,175,-1
948,8.311519652473484,0.5,12.467279478710225,-1.0,956,592,508
947,13.890018018157837,0.5,20.835027027236755,-1.0,2852,2419,1436
956,-1,0.5,-1,-1,1623,834,-1
953,12.875925892693793,0.5,19.31388883904069,18.214228963699362,719,372,216
952,13.510744526968976,0.5,20.266116790453463,19.299134569913484,1673,763,572
951,13.573966316899536,0.5,20.360949475349305,-1.0,1735,965,736
955,10.930391989956183,0.5,16.395587984934274,15.462880160080404,803,621,432
958,12.117049309809559,0.5,18.17557396471434,17.140306740263174,578,303,162
954,13.96570373365594,0.5,20.94855560048391,-1.0,1897,1432,872
957,12.723507909526523,0.5,19.085261864289784,-1.0,1683,1241,904
959,11.949954285505306,0.5,17.92493142825796,16.903511070736826,1713,256,142
961,4.1102415721839165,0.5,6.165362358275875,5.8140478221383685,5,3,4
960,14.472549683537984,0.5,21.708824525306976,20.542760982899914,1644,1479,988
962,13.662787544345136,0.5,20.494181316517704,19.322620025640923,1395,254,130
963,14.142899453594838,0.5,21.214349180392258,20.186512127818965,657,289,160
964,10.112437569535677,0.5,15.168656354303515,14.305615088198502,1128,244,160
965,14.256227204105366,0.5,21.38434080615805,20.166285725118634,1557,1012,668
966,10.127679564783351,0.5,15.191519347175026,14.327648177718656,541,531,442
967,-1,0.5,-1,-1,879,37,-1
968,11.727367028424986,0.5,17.59105054263748,16.590000000022492,1257,449,274
969,8.759794135827976,0.5,13.139691203741965,-1.0,933,800,682
970,13.737368953658196,0.5,20.606053430487293,-1.0,1310,1078,708
973,12.752377853682866,0.5,19.1285667805243,18.03953968947937,1053,751,502
974,10.417204110860789,0.5,15.625806166291184,14.737098894349938,936,800,582
972,9.183388770018276,0.5,13.775083155027414,-1.0,1481,1416,1146
971,8.07442253238677,0.5,12.111633798580154,-1.0,1974,250,194
976,-1,0.5,-1,-1,1842,76,-1
975,13.631537522962526,0.5,20.44730628444379,-1.0,1753,1636,1114
977,11.382951678562584,0.5,17.074427517843876,16.102554220782444,1303,262,154
979,8.663019753631202,0.5,12.994529630446804,12.256247323216247,661,579,450
981,13.282041506553625,0.5,19.923062259830438,18.78860975822839,792,623,476
980,10.456540345537986,0.5,15.684810518306978,14.859101456282033,1441,931,752
978,14.84886719951402,0.5,22.27330079927103,-1.0,2089,1923,1396
982,9.36615384314267,0.5,14.049230764714004,13.250000798874588,246,27,14
984,8.770023848859307,0.5,13.15503577328896,12.476093726445011,541,445,334
983,13.048211721938193,0.5,19.57231758290729,-1.0,1209,1127,824
986,12.44351484088394,0.5,18.66527226132591,17.602762724998552,1489,588,460
985,14.147571299830865,0.5,21.221356949746298,-1.0,1476,1341,924
987,14.395049344286738,0.5,21.592574016430106,20.401250105186715,998,856,562
988,12.882145009350973,0.5,19.32321751402646,18.233313302075988,817,755,516
989,13.993766477308464,0.5,20.990649715962697,19.79501964966336,1792,1501,914
990,12.790519491257998,0.5,19.185779236886997,18.093449330761842,936,642,466
993,-1,0.5,-1,-1,1879,1115,-1
991,13.507639264587773,0.5,20.26145889688166,-1.0,1630,1440,1056
992,6.1483082519414465,0.5,9.22246237791217,8.711457534708275,1641,72,42
996,14.742130284732136,0.5,22.113195427098205,20.853367510432868,2488,1811,994
994,12.449651504622466,0.5,18.6744772569337,-1.0,1680,929,750
997,11.376565649090752,0.5,17.06484847363613,16.09035884398832,1691,224,152
998,14.614795327583805,0.5,21.922192991375706,-1.0,1836,1720,1252
