id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
65,SQUISH,1223,122,40,3931.3493645482263,3326.6989177978126,0.006298249994870275,0.5515599999999999,0.8,2184.08298030457
71,DP,2082,188,176,228.42309125052878,193.29594458670707,0.009161666996078566,0.7545299999999999,0.8,126.90171736140488
71,DOTS,2082,1302,734,30.89340723663364,26.14647179510763,0.02057283400790766,0.70317,0.8,17.16300402035202
71,SQUISH,2082,208,102,406.4004142379396,343.8952482128808,0.009628750005504116,0.90076,0.8,225.77800790996642
68,DP,2184,586,572,244.91828530850572,207.2549196407028,0.009608167005353607,0.6886599999999999,0.8,136.06571406028095
68,DOTS,2184,1851,1250,30.80261660653276,26.07071487079947,0.020503874999121763,0.70584,0.8,17.112564781407087
68,SQUISH,2184,218,92,2199.790451184518,1861.4525481518504,0.0062060829950496554,0.87272,0.8,1222.1058062136212
70,DP,766,198,28,2317.66780608966,1961.2057418924196,0.005849665991263464,0.31439999999999996,0.8,1287.5932256053668
70,DOTS,766,530,398,30.08112043850113,2317.702118116745,0.024320583004737273,0.25138,0.8,16.711733576945072
70,SQUISH,766,76,26,2821.914661289217,2387.916139569376,0.006175458009238355,0.38729,0.8,1567.7303673828983
69,DP,3160,312,260,278.52475410074857,235.69080722537504,0.009391708998009562,1.1885899999999998,0.8,154.73597450041586
69,DOTS,3160,1335,896,30.938962245957278,26.18579399604308,0.025859749992378056,1.33315,0.8,17.188312358865154
69,SQUISH,3160,316,92,878.1616031841229,743.099786114887,0.008304249990032986,1.26629,0.8,487.8675573245127
72,DP,1688,511,430,276.41160564145434,233.90594305719577,0.009278291996452026,0.5673400000000001,0.8,153.5620031341413
72,DOTS,1688,1519,1110,30.64242690431021,25.934926259393066,0.021412083005998284,0.5002,0.8,17.02357050239456
72,SQUISH,1688,168,78,1982.4923049712363,1677.5823050034128,0.005428040996775962,0.7,0.8,1101.384613872909
73,DP,1098,376,244,461.93410144151505,390.89166354057267,0.0077312080102274194,0.38750999999999997,0.8,256.63005635639723
73,DOTS,1098,972,744,23.231985793289805,19.6642767425271,0.08445437499904074,0.32963,0.8,12.906658774049891
73,SQUISH,1098,109,54,2782.9222901018106,2354.904111768212,0.00538441700336989,0.48881,0.8,1546.0679389454504
74,DP,1417,367,350,237.47377387368945,200.9540396260357,0.007496874997741543,0.49933,0.8,131.92987437427192
74,DOTS,1417,937,738,28.100269101119952,190.49175773726284,0.02428591599164065,0.50637,0.9,14.789615316378923
74,SQUISH,1417,141,38,2595.927017356328,2196.669048087993,0.009056333001353778,0.56989,0.8,1442.1816763090712
76,DP,998,367,270,387.1971017237376,327.6511102085299,0.011672459004330449,0.40736,0.8,215.109500957632
76,DOTS,998,663,584,16.447508154576113,13.923865232712988,0.018012999993516132,0.31595999999999996,0.8,9.137504530320063
76,SQUISH,998,99,38,3082.1201493585368,2608.0843506737156,0.0052244580001570284,0.43152999999999997,0.8,1712.2889718658537
75,DP,1714,333,224,374.8470503286808,317.1974240575801,0.008307541997055523,0.66735,0.8,208.24836129371153
75,DOTS,1714,966,702,28.71154808931998,24.30170089932001,0.021783167001558468,0.6340399999999999,0.8,15.95086004962221
75,SQUISH,1714,171,60,1580.7802607103652,1337.6558015447515,0.004829707992030308,0.71913,0.8,878.2112559502028
77,DP,1663,255,202,311.8122665946833,263.8583162913744,0.009258292004233226,0.736,0.8,173.22903699704628
77,DOTS,1663,777,604,31.32492328835994,26.512953054915503,0.021461249998537824,0.59612,0.8,17.402735160199967
77,SQUISH,1663,166,14,2832.896398456312,2395.883015055259,0.005255832991679199,0.83877,0.8,1573.831332475729
78,DP,985,5,6,3124.83517180156,2640.367184243451,0.005914666995522566,0.218,0.8,1736.0195398897556
78,DOTS,985,143,94,27.85291311301387,23.57128124734658,0.019012916993233375,0.34195,0.8,15.473840618341038
78,SQUISH,985,98,48,51.694709292389206,43.74427105088461,0.007341542004724033,0.34573000000000004,0.8,28.719282940216225
80,DP,1193,225,140,308.16083245380156,260.7690983145397,0.007578375007142313,0.36807,0.8,171.2004624743342
80,DOTS,1193,956,594,31.305778326291602,26.496954275341785,0.01906241598771885,0.4412,0.8,17.392099070162
80,SQUISH,1193,119,34,1310.6884647563788,1109.106118397811,0.007254624986671843,0.40643,0.8,728.1602581979882
79,DP,1766,196,166,303.30251116665835,256.6588166036107,0.007873166003264487,0.47757,0.8,168.50139509258796
79,DOTS,1766,677,524,20.013267226983913,16.940819130980923,0.018979540996951982,0.79772,0.8,11.11848179276884
79,SQUISH,1766,176,64,1049.614420814094,888.1859357991892,0.005568458000198007,0.7625,0.8,583.1191226744967
82,DP,662,97,80,232.7587325358867,196.9625803726671,0.005645625002216548,0.22011,0.8,129.3104069643815
82,DOTS,662,462,312,26.655795806604935,22.562240151198893,0.016399875006754883,0.23874,0.8,14.808775448113852
